"Sample1","Sample2","BC","jaccard","JSD","Group"
"Control.A19","PsO.C50",0.543481502491177,0.704228073500069,4.93020282650315,"Relatives-Psoriasis"
"Control.A19","PsO.C51",0.837988713248112,0.911854036107991,6.99926747474571,"Relatives-Psoriasis"
"Control.A19","PsO.C52",0.783515210704113,0.878619039525645,6.63008467891109,"Relatives-Psoriasis"
"Control.A19","PsO.C53",0.874351468217464,0.932964263152828,7.16289051979174,"Relatives-Psoriasis"
"Control.A19","PsO.C54",0.775781649160238,0.873735404943623,6.60285990418964,"Relatives-Psoriasis"
"Control.A19","PsO.C55",0.43851629449165,0.609678591992057,5.01476715858988,"Relatives-Psoriasis"
"Control.A19","PsO.C56",0.935864336824256,0.966869753238516,7.73694674704587,"Relatives-Psoriasis"
"Control.A19","PsO.C57",0.801124971484055,0.8895828819962,6.74908130207073,"Relatives-Psoriasis"
"Control.A19","PsO.C58",0.62728630575237,0.770959976170077,5.80818157279951,"Relatives-Psoriasis"
"Control.A19","PsO.C59",0.389350130485113,0.560478056527286,4.88338569535507,"Relatives-Psoriasis"
"Control.A19","PsO.C60",0.700843754294672,0.82411303510393,6.21942979578691,"Relatives-Psoriasis"
"Control.A19","PsO.C61",0.844205396682885,0.915522097702708,7.01358373182437,"Relatives-Psoriasis"
"Control.A19","PsO.C62",0.796924658995117,0.886987281304021,6.82853379220363,"Relatives-Psoriasis"
"Control.A19","PsO.C63",0.649343420828359,0.787396260388556,5.88785777736317,"Relatives-Psoriasis"
"Control.A19","PsO.C64",0.741569549171839,0.851610605530482,6.16544879883871,"Relatives-Psoriasis"
"Control.A19","PsO.C65",0.78358710744674,0.878664242609904,6.71802588609059,"Relatives-Psoriasis"
"Control.A19","PsO.C66",0.509922471447776,0.675428680730662,5.20358119920728,"Relatives-Psoriasis"
"Control.A19","PsO.C67",0.820253196820781,0.901251758000941,6.83064933183044,"Relatives-Psoriasis"
"Control.A19","PsO.C68",0.688957941500944,0.815837889827713,5.76894237962657,"Relatives-Psoriasis"
"Control.A19","PsO.C69",0.913841031312898,0.954981125768844,7.49385219082927,"Relatives-Psoriasis"
"Control.A19","PsO.C70",0.803884965911284,0.891281851229553,6.62614722898168,"Relatives-Psoriasis"
"Control.A19","PsO.C71",0.784385508936697,0.879165970591307,6.68980570172031,"Relatives-Psoriasis"
"Control.A19","PsO.C72",0.687364840462548,0.814719880348016,6.07400524085178,"Relatives-Psoriasis"
"Control.A19","PsO.C73",0.927955951917167,0.962631901412897,7.65792159026372,"Relatives-Psoriasis"
"Control.A20","Control.A21",0.822990244498867,0.902901424713991,7.03021382059165,"Relatives-Relatives"
"Control.A20","Control.A22",0.893370868431589,0.943682913186079,7.28412898195943,"Relatives-Relatives"
"Control.A20","Control.A23",0.550265118631967,0.709898083906512,5.39517749892015,"Relatives-Relatives"
"Control.A20","Control.A24",0.742811423474163,0.852428912811949,6.59744974331461,"Relatives-Relatives"
"Control.A20","Control.A25",0.719484067918578,0.836860406377022,6.09012362396602,"Relatives-Relatives"
"Control.A20","Control.A26",0.831422981938171,0.907952985342891,6.91194118033125,"Relatives-Relatives"
"Control.A20","Control.A27",0.715071748482061,0.833868028104295,6.23244428768384,"Relatives-Relatives"
"Control.A20","Control.A28",0.697284099435901,0.821646888305436,6.16850235326432,"Relatives-Relatives"
"Control.A20","Control.C01",0.759627234974402,0.863395632752243,6.60549238254004,"Relatives-Control"
"Control.A20","Control.C02",0.646677444041851,0.785433050512369,6.03585110725893,"Relatives-Control"
"Control.A20","Control.C03",0.76706919378673,0.868182407891955,6.46494910455655,"Relatives-Control"
"Control.A20","Control.C04",0.835656110196107,0.91047130838339,7.14188641501479,"Relatives-Control"
"Control.A20","Control.C05",0.807591788078182,0.8935554956651,6.69572459359486,"Relatives-Control"
"Control.A20","Control.C06",0.838016969773061,0.911870764584432,6.97335488735626,"Relatives-Control"
"Control.A20","Control.C07",0.938777871160176,0.968422308841813,7.80653672882997,"Relatives-Control"
"Control.A20","Control.C08",0.644143867295663,0.78356143900615,5.90672336438004,"Relatives-Control"
"Control.A20","Control.C09",0.760300110498279,0.863830100292461,6.47811112173558,"Relatives-Control"
"Control.A20","Control.C10",0.870271116468019,0.930636321980434,7.36515770692305,"Relatives-Control"
"Control.A20","Control.C11",0.877623686684597,0.934823833879361,7.33958328927242,"Relatives-Control"
"Control.A20","Control.C12",0.750766293856941,0.857643074910932,6.46652570454727,"Relatives-Control"
"Control.A20","Control.C13",0.793158757384887,0.884649788110916,6.89549421729204,"Relatives-Control"
"Control.A20","Control.C14",0.783614437052911,0.878681424386413,6.81089298184296,"Relatives-Control"
"Control.A20","Control.C15",0.866497921835735,0.928474563725759,7.14562849413721,"Relatives-Control"
"Control.A20","Control.C17",0.690828335993199,0.817147810084935,6.12471388816615,"Relatives-Control"
"Control.A20","Control.C18",0.762175772081748,0.865039440624418,6.64122610547308,"Relatives-Control"
"Control.A20","PsO.A01",0.825717315551042,0.904540159112006,7.05531937987069,"Relatives-Psoriasis"
"Control.A20","PsO.A02",0.767096944878408,0.868200182340523,6.50967222901311,"Relatives-Psoriasis"
"Control.A20","PsO.A03",0.819060542384423,0.900531371331709,6.8880894131173,"Relatives-Psoriasis"
"Control.A20","PsO.A04",0.776406799975745,0.874131758543534,6.66248316832805,"Relatives-Psoriasis"
"Control.A20","PsO.A05",0.78219815989431,0.877790334987998,6.86187414884415,"Relatives-Psoriasis"
"Control.A20","PsO.A06",0.772983277994476,0.871957776013366,6.54193208481178,"Relatives-Psoriasis"
"Control.A20","PsO.A07",0.916259208407046,0.956299862134744,7.58664267916203,"Relatives-Psoriasis"
"Control.A20","PsO.A08",0.793296110726651,0.884735215764455,6.73831399552113,"Relatives-Psoriasis"
"Control.A20","PsO.A09",0.826307993825669,0.904894460977259,6.96444142831963,"Relatives-Psoriasis"
"Control.A20","PsO.A10",0.79575592181493,0.886262895918146,6.65031554987556,"Relatives-Psoriasis"
"Control.A20","PsO.A11",0.871447210978286,0.931308354161636,7.31993162613863,"Relatives-Psoriasis"
"Control.A20","PsO.A12",0.728008290267684,0.8425981453537,6.42314519919805,"Relatives-Psoriasis"
"Control.A20","PsO.A13",0.7462676556742,0.854700198161868,6.41862040440227,"Relatives-Psoriasis"
"Control.A20","PsO.A14",0.80935098420976,0.894631269745871,6.92409144176712,"Relatives-Psoriasis"
"Control.A20","PsO.A15",0.942823920310639,0.970570632216522,7.96362673358044,"Relatives-Psoriasis"
"Control.A20","PsO.A16",0.600048525031112,0.750037909030846,5.65064397700301,"Relatives-Psoriasis"
"Control.A20","PsO.A17",0.623240950855121,0.767897027889543,5.59743007423449,"Relatives-Psoriasis"
"Control.A20","PsO.A18",0.880461116391846,0.936431079288935,7.37688529623633,"Relatives-Psoriasis"
"Control.A20","PsO.A19",0.595975982215964,0.746848309569758,5.32606087544075,"Relatives-Psoriasis"
"Control.A20","PsO.A20",0.904516416531175,0.949864657169648,7.42642510290255,"Relatives-Psoriasis"
"Control.A20","PsO.A21",0.911739496758174,0.953832358754164,7.64465672173391,"Relatives-Psoriasis"
"Control.A20","PsO.A22",0.834899947783369,0.910022313523918,7.02130177981255,"Relatives-Psoriasis"
"Control.A20","PsO.A23",0.90615331991658,0.950766457712055,7.56738270360281,"Relatives-Psoriasis"
"Control.A20","PsO.A24",0.724860521513735,0.840485955209408,6.07195411237574,"Relatives-Psoriasis"
"Control.A20","PsO.A25",0.826025638201784,0.90472512643933,6.81816300497911,"Relatives-Psoriasis"
"Control.A20","PsO.A26",0.763992106796975,0.866208078656562,6.30301509931239,"Relatives-Psoriasis"
"Control.A20","PsO.A27",0.825203944832699,0.904232041760504,7.19082966871495,"Relatives-Psoriasis"
"Control.A20","PsO.A28",0.569262967225847,0.725516346354867,5.30248421691697,"Relatives-Psoriasis"
