ID,Kingdom,Phylum,Class,Order,Family,Genus,Species,mean,Label
k__Bacteria;p__Bacteroidetes;c__CFGB628;o__OFGB628;f__FGB628;g__GGB1492;s__GGB1492_SGB2067,k__Bacteria,p__Bacteroidetes,c__CFGB628,o__OFGB628,f__FGB628,g__GGB1492,s__GGB1492_SGB2067,0.103731058444879,k__Bacteria;p__Bacteroidetes;c__CFGB628;o__OFGB628;f__FGB628;g__GGB1492;s__GGB1492_SGB2067
k__Bacteria;p__Bacteroidetes;c__CFGB667;o__OFGB667;f__FGB667;g__GGB1662;s__GGB1662_SGB2276,k__Bacteria,p__Bacteroidetes,c__CFGB667,o__OFGB667,f__FGB667,g__GGB1662,s__GGB1662_SGB2276,0.243911772273274,k__Bacteria;p__Bacteroidetes;c__CFGB667;o__OFGB667;f__FGB667;g__GGB1662;s__GGB1662_SGB2276
k__Bacteria;p__Firmicutes;c__CFGB3009;o__OFGB3009;f__FGB3009;g__GGB48538;s__GGB48538_SGB66596,k__Bacteria,p__Firmicutes,c__CFGB3009,o__OFGB3009,f__FGB3009,g__GGB48538,s__GGB48538_SGB66596,0.218087353645146,k__Bacteria;p__Firmicutes;c__CFGB3009;o__OFGB3009;f__FGB3009;g__GGB48538;s__GGB48538_SGB66596
k__Bacteria;p__Actinobacteria;c__CFGB2987;o__OFGB2987;f__FGB2987;g__GGB9359;s__GGB9359_SGB14334,k__Bacteria,p__Actinobacteria,c__CFGB2987,o__OFGB2987,f__FGB2987,g__GGB9359,s__GGB9359_SGB14334,0.247248430899465,k__Bacteria;p__Actinobacteria;c__CFGB2987;o__OFGB2987;f__FGB2987;g__GGB9359;s__GGB9359_SGB14334
k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Lachnospiraceae;g__GGB79634;s__GGB79634_SGB5832,k__Bacteria,p__Firmicutes,c__Clostridia,o__Eubacteriales,f__Lachnospiraceae,g__GGB79634,s__GGB79634_SGB5832,0.191922843782453,k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Lachnospiraceae;g__GGB79634;s__GGB79634_SGB5832
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__GGB1460;s__GGB1460_SGB2023,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Muribaculaceae,g__GGB1460,s__GGB1460_SGB2023,0.163292607713492,k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__GGB1460;s__GGB1460_SGB2023
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes_timonensis,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Rikenellaceae,g__Alistipes,s__Alistipes_timonensis,0.224445749901427,k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes_timonensis
k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Clostridiaceae;g__Clostridium;s__Clostridium_sp_chh4_2,k__Bacteria,p__Firmicutes,c__Clostridia,o__Eubacteriales,f__Clostridiaceae,g__Clostridium,s__Clostridium_sp_chh4_2,0.214906205333206,k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Clostridiaceae;g__Clostridium;s__Clostridium_sp_chh4_2
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides_faecis,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Bacteroidaceae,g__Bacteroides,s__Bacteroides_faecis,0.470765015180538,k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides_faecis
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__Prevotella_timonensis,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Prevotellaceae,g__Prevotella,s__Prevotella_timonensis,0.209037666837138,k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__Prevotella_timonensis
