"","igraph.degree","igraph.closeness","igraph.betweenness","igraph.cen.degree"
"k__Bacteria;p__Firmicutes;c__CFGB10314;o__OFGB10314;f__FGB10314;g__GGB4702;s__GGB4702_SGB6509",90,0.235906331309627,24.7200792255796,90
"k__Bacteria;p__Firmicutes;c__CFGB13380;o__OFGB13380;f__FGB13380;g__GGB4704;s__GGB4704_SGB6511",90,0.235906331309627,24.7200792255796,90
"k__Bacteria;p__Firmicutes;c__CFGB10314;o__OFGB10314;f__FGB10314;g__GGB4703;s__GGB4703_SGB6510",90,0.235906331309627,24.7200792255796,90
"k__Bacteria;p__Firmicutes;c__CFGB31626;o__OFGB31626;f__FGB31626;g__GGB4676;s__GGB4676_SGB6465",90,0.235906331309627,24.7200792255796,90
"k__Bacteria;p__Firmicutes;c__CFGB58251;o__OFGB58251;f__FGB58251;g__GGB9762;s__GGB9762_SGB15377",90,0.235906331309627,24.7200792255796,90
"k__Bacteria;p__Firmicutes;c__CFGB45503;o__OFGB45503;f__FGB45503;g__GGB9790;s__GGB9790_SGB15413",94,0.241348713398403,1797.62952667592,94
"k__Bacteria;p__Firmicutes;c__CFGB73223;o__OFGB73223;f__FGB73223;g__GGB9249;s__GGB9249_SGB14193",90,0.235906331309627,24.7200792255796,90
"k__Bacteria;p__Firmicutes;c__CFGB16911;o__OFGB16911;f__FGB16911;g__GGB49418;s__GGB49418_SGB69331",90,0.235906331309627,24.7200792255796,90
"k__Bacteria;p__Firmicutes;c__CFGB76445;o__OFGB76445;f__FGB76445;g__GGB33665;s__GGB33665_SGB47358",90,0.235906331309627,24.7200792255796,90
"k__Bacteria;p__Firmicutes;c__CFGB76465;o__OFGB76465;f__FGB76465;g__GGB80140;s__GGB80140_SGB15224",90,0.235906331309627,24.7200792255796,90
"k__Bacteria;p__Firmicutes;c__CFGB32970;o__OFGB32970;f__FGB32970;g__GGB51884;s__GGB51884_SGB49168",90,0.235906331309627,24.7200792255796,90
"k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Staphylococcaceae;g__GGB6520;s__GGB6520_SGB9209",90,0.235906331309627,24.7200792255796,90
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Clostridiaceae;g__GGB3623;s__GGB3623_SGB4900",90,0.235906331309627,24.7200792255796,90
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Clostridiaceae;g__GGB3528;s__GGB3528_SGB4713",90,0.235906331309627,24.7200792255796,90
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Clostridiaceae;g__GGB3627;s__GGB3627_SGB4906",90,0.235906331309627,24.7200792255796,90
"k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__GGB9691;s__GGB9691_SGB15198",90,0.235906331309627,24.7200792255796,90
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Clostridiaceae;g__GGB9061;s__GGB9061_SGB13979",90,0.235906331309627,24.7200792255796,90
"k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__GGB4584;s__GGB4584_SGB6338",90,0.235906331309627,24.7200792255796,90
"k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__GGB4567;s__GGB4567_SGB6308",90,0.235906331309627,24.7200792255796,90
"k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__GGB4723;s__GGB4723_SGB6540",90,0.235906331309627,24.7200792255796,90
"k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__GGB4569;s__GGB4569_SGB6310",90,0.235906331309627,24.7200792255796,90
"k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__GGB4541;s__GGB4541_SGB6262",90,0.235906331309627,24.7200792255796,90
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Clostridiaceae;g__GGB9060;s__GGB9060_SGB13977",90,0.235906331309627,24.7200792255796,90
"k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__GGB4558;s__GGB4558_SGB6289",90,0.235906331309627,24.7200792255796,90
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Oscillospiraceae;g__GGB3343;s__GGB3343_SGB4423",90,0.235906331309627,24.7200792255796,90
"k__Bacteria;p__Candidatus_Melainabacteria;c__CFGB2104;o__OFGB2104;f__FGB2104;g__GGB5988;s__GGB5988_SGB8609",90,0.235906331309627,24.7200792255796,90
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Oscillospiraceae;g__GGB9608;s__GGB9608_SGB15042",90,0.235906331309627,24.7200792255796,90
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Oscillospiraceae;g__GGB9640;s__GGB9640_SGB15115",90,0.235906331309627,24.7200792255796,90
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Oscillospiraceae;g__GGB9618;s__GGB9618_SGB15065",101,0.256846081208687,6129.42118876942,101
